filename, language, JSON, Markdown, JavaScript, HTML, CSS, CSV, XML, Log, comment, blank, total
README.md, Markdown, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
package.json, JSON, 82, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
public\centros.csv, CSV, 0, 0, 0, 0, 0, 1348, 0, 0, 0, 1, 1349
public\electron.js, JavaScript, 0, 0, 95, 0, 0, 0, 0, 0, 5, 7, 107
public\index.html, HTML, 0, 0, 0, 23, 0, 0, 0, 0, 23, 1, 47
public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
public\medicamentos.csv, CSV, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
save.json, JSON, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
src\assets\asc-label-landscape.svg, XML, 0, 0, 0, 0, 0, 0, 136, 0, 1, 1, 138
src\assets\elanco.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
src\components\App\App.css, CSS, 0, 0, 0, 0, 104, 0, 0, 0, 0, 18, 122
src\components\App\App.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
src\components\App\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\BarraLateral\BarraLateral.css, CSS, 0, 0, 0, 0, 54, 0, 0, 0, 0, 9, 63
src\components\BarraLateral\BarraLateral.js, JavaScript, 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 52
src\components\BarraLateral\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Centro\Centro.css, CSS, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
src\components\Centro\Centro.js, JavaScript, 0, 0, 125, 0, 0, 0, 0, 0, 0, 5, 130
src\components\Centro\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Contenedor\Contenedor.css, CSS, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
src\components\Contenedor\Contenedor.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
src\components\Contenedor\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Economico\Economico.css, CSS, 0, 0, 0, 0, 50, 0, 0, 0, 0, 10, 60
src\components\Economico\Economico.js, JavaScript, 0, 0, 166, 0, 0, 0, 0, 0, 0, 8, 174
src\components\Economico\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Inicio\Inicio.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src\components\Inicio\Inicio.js, JavaScript, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
src\components\Inicio\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Produccion\CalculadoraVolumen\CalculadoraVolumen.css, CSS, 0, 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
src\components\Produccion\CalculadoraVolumen\CalculadoraVolumen.js, JavaScript, 0, 0, 83, 0, 0, 0, 0, 0, 0, 7, 90
src\components\Produccion\CalculadoraVolumen\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Produccion\CampoNumerico.js, JavaScript, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
src\components\Produccion\Produccion.css, CSS, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
src\components\Produccion\Produccion.js, JavaScript, 0, 0, 306, 0, 0, 0, 0, 0, 0, 9, 315
src\components\Produccion\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\Anexos\Anexos.js, JavaScript, 0, 0, 72, 0, 0, 0, 0, 0, 0, 2, 74
src\components\Reporte\Anexos\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\DatosSimulacion\DatosSimulacion.js, JavaScript, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
src\components\Reporte\DatosSimulacion\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\EncabezadoReporte\EncabezadoReporte.js, JavaScript, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
src\components\Reporte\EncabezadoReporte\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\GraficoNiveles\GraficoNiveles.css, CSS, 0, 0, 0, 0, 93, 0, 0, 0, 0, 15, 108
src\components\Reporte\GraficoNiveles\GraficoNiveles.js, JavaScript, 0, 0, 56, 0, 0, 0, 0, 0, 0, 5, 61
src\components\Reporte\GraficoNiveles\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\GraficoPTI\GraficoPTI.css, CSS, 0, 0, 0, 0, 57, 0, 0, 0, 0, 11, 68
src\components\Reporte\GraficoPTI\GraficoPTI.js, JavaScript, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
src\components\Reporte\GraficoPTI\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\ImpactoCertificacion\ImpactoCertificacion.js, JavaScript, 0, 0, 38, 0, 0, 0, 0, 0, 0, 2, 40
src\components\Reporte\ImpactoCertificacion\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\ImpactoEconomico\ImpactoEconomico.js, JavaScript, 0, 0, 109, 0, 0, 0, 0, 0, 0, 6, 115
src\components\Reporte\ImpactoEconomico\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\ImpactoProductivo\ImpactoProductivo.js, JavaScript, 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 54
src\components\Reporte\ImpactoProductivo\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\ImpactoRegulacion\ImpactoRegulacion.js, JavaScript, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
src\components\Reporte\ImpactoRegulacion\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\ImpactosLaborales\ImpactosLaborales.js, JavaScript, 0, 0, 101, 0, 0, 0, 0, 0, 0, 8, 109
src\components\Reporte\ImpactosLaborales\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Reporte\Reporte.css, CSS, 0, 0, 0, 0, 310, 0, 0, 0, 0, 56, 366
src\components\Reporte\Reporte.js, JavaScript, 0, 0, 135, 0, 0, 0, 0, 0, 8, 13, 156
src\components\Reporte\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Tratamientos\ResumenComparacion\GraficoCrecimiento.js, JavaScript, 0, 0, 111, 0, 0, 0, 0, 0, 0, 6, 117
src\components\Tratamientos\ResumenComparacion\ResumenComparacion.css, CSS, 0, 0, 0, 0, 82, 0, 0, 0, 0, 15, 97
src\components\Tratamientos\ResumenComparacion\ResumenComparacion.js, JavaScript, 0, 0, 75, 0, 0, 0, 0, 0, 0, 5, 80
src\components\Tratamientos\ResumenComparacion\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Tratamientos\SeleccionMedicamentos\FilaMedicamento.js, JavaScript, 0, 0, 60, 0, 0, 0, 0, 0, 0, 6, 66
src\components\Tratamientos\SeleccionMedicamentos\FilaNuevoMedicamento\FilaNuevoMedicamento.css, CSS, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
src\components\Tratamientos\SeleccionMedicamentos\FilaNuevoMedicamento\FilaNuevoMedicamento.js, JavaScript, 0, 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
src\components\Tratamientos\SeleccionMedicamentos\FilaNuevoMedicamento\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Tratamientos\SeleccionMedicamentos\SeleccionMedicamentos.css, CSS, 0, 0, 0, 0, 120, 0, 0, 0, 0, 26, 146
src\components\Tratamientos\SeleccionMedicamentos\SeleccionMedicamentos.js, JavaScript, 0, 0, 107, 0, 0, 0, 0, 0, 1, 8, 116
src\components\Tratamientos\SeleccionMedicamentos\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\components\Tratamientos\Tratamientos.css, CSS, 0, 0, 0, 0, 178, 0, 0, 0, 0, 34, 212
src\components\Tratamientos\Tratamientos.js, JavaScript, 0, 0, 285, 0, 0, 0, 0, 0, 0, 19, 304
src\components\Tratamientos\index.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
src\helpers\constantes.js, JavaScript, 0, 0, 9, 0, 0, 0, 0, 0, 0, 7, 16
src\helpers\escalaComida.js, JavaScript, 0, 0, 54, 0, 0, 0, 0, 0, 3, 3, 60
src\helpers\helpers.js, JavaScript, 0, 0, 113, 0, 0, 0, 0, 0, 0, 11, 124
