"cod_centro","barrio","titular","rut","coords"
"100052","3A","SOCIEDAD COMERCIAL CANAL PEREZ LTDA","76030057-8","73.1680833333333,41.7406527777778"
"100054","12A","PESQUERA YADRAN S.A.","82975200-K","73.521125,43.1587305555556"
"100060","11","INVERMAR S.A.","79797990-2","73.7216833333333,42.8631916666667"
"100065","7","CERMAQ CHILE S.A.","79784980-4","73.4811527777778,42.1493083333333"
"100066","7","CERMAQ CHILE S.A.","79784980-4","73.4695416666667,42.1254138888889"
"100067","7","CERMAQ CHILE S.A.","79784980-4","73.4341666666667,42.11215"
"100068","10A","SALMONES TECMAR S.A.","79809870-5","73.6620611111111,42.4742611111111"
"100072","12A","SALMONES PACIFIC STAR S.A.","79559220-2","73.564175,43.1186777777778"
"100075","10A","SALMONES ANTARTICA S.A.","86100500-3","73.6333222222222,42.41755"
"100078","2","UNIVERSIDAD DE LOS LAGOS","70772100-6","72.7109305555556,41.5949861111111"
"100088","17B","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.5980611111111,42.0095444444444"
"100096","17B","SOC. INDUSTRIAL COMERC Y PESQUERA MALOMACUN LTDA.","79645660-4","72.6218277777778,42.0543138888889"
"100099","3B","CERMAQ CHILE S.A.","79784980-4","73.3609638888889,41.7994861111111"
"100099","3B","CERMAQ CHILE S.A.","79784980-4","73.3491833333333,41.8054694444444"
"100101","11","NUEVA CERMAQ CHILE S.A.","77026097-3","73.6982166666667,42.8657333333333"
"100103","10B","CERMAQ CHILE S.A.","79784980-4","73.6696583333333,42.6849444444444"
"100104","10A","CERMAQ CHILE S.A.","79784980-4","73.7480194444445,42.5690305555556"
"100114","11","NUEVA CERMAQ CHILE S.A.","77026097-3","73.6819611111111,42.8700166666667"
"100117","10A","MOWI CHILE S.A.","96633780-K","73.8002916666667,42.5319666666667"
"100120","7","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","73.4692361111111,42.1318083333333"
"100123","2","SALMONES MAULLIN LTDA.","79728530-7","73.0621472222222,41.6608166666667"
"100124","2","SALMONES MAULLIN LTDA.","79728530-7","73.0808361111111,41.5902611111111"
"100148","3B","MULTIEXPORT PACIFIC FARMS S.A.","76259377-7","73.3660666666667,41.7787611111111"
"100162","11","CERMAQ CHILE S.A.","79784980-4","73.682775,42.8674416666667"
"100164","7","CERMAQ CHILE S.A.","79784980-4","73.4354277777778,42.1112138888889"
"100167","3B","MOWI CHILE S.A.","96633780-K","73.1842361111111,41.7927222222222"
"100176","17A","PRODUCTOS DEL MAR VENTISQUEROS S.A.","96545040-8","72.4253916666667,42.1641305555556"
"100182","3B","EMPRESAS AQUACHILE S.A.","86247400-7","73.3342611111111,41.8166583333333"
"100185","3B","AUSTRALIS AGUA DULCE S.A.","76090483-K","73.1707055555556,41.7969555555556"
"100186","2","AUSTRALIS AGUA DULCE S.A.","76090483-K","73.0438666666667,41.7171638888889"
"100189","3B","CERMAQ CHILE S.A.","79784980-4","73.3518555555555,41.7732805555556"
"100194","3A","SALMONES AYSEN S.A.","76650680-1","73.156325,41.7501638888889"
"100195","3A","SALMONES AYSEN S.A.","76650680-1","73.1587416666667,41.7483444444444"
"100206","3A","MOWI CHILE S.A.","96633780-K","73.0968944444444,41.7347472222222"
"100208","10A","AGUAS CLARAS S.A.","96509550-0","73.7731694444444,42.5344916666667"
"100216","10A","SALMOCONCESIONES S.A.","96603640-0","73.6249833333333,42.5422277777778"
"100217","11","SALMOCONCESIONES S.A.","96603640-0","73.6992583333333,42.8582861111111"
"100219","3A","AGUAS CLARAS S.A.","96509550-0","73.09725,41.8231166666667"
"100220","3A","AGUAS CLARAS S.A.","96509550-0","73.0802916666667,41.7697833333333"
"100221","3A","AGUAS CLARAS S.A.","96509550-0","73.0811194444444,41.7752388888889"
"100222","9A","AGUAS CLARAS S.A.","96509550-0","73.5785333333333,42.3615916666667"
"100223","9A","AGUAS CLARAS S.A.","96509550-0","73.5894055555555,42.36805"
"100225","1","FIORDO BLANCO S.A.","96540710-3","72.2967888888889,41.4399694444444"
"100227","3B","SALMONES CAMANCHACA S.A.","76065596-1","73.1871138888889,41.7896944444444"
"100245","10B","AGUAS CLARAS S.A.","96509550-0","73.7394694444444,42.6133861111111"
"100271","2","SEA SALMON LTDA.","79690020-2","73.0350527777778,41.5368194444444"
"100325","2","SERVICIOS MARITIMOS OXXEAN S.A.","79849900-9","73.0406333333333,41.523875"
"100331","3B","MOWI CHILE S.A.","96633780-K","73.3876666666667,41.7670222222222"
"100333","3A","MOWI CHILE S.A.","96633780-K","73.164175,41.7423527777778"
"100338","6","MOWI CHILE S.A.","96633780-K","73.5165222222222,41.8965916666667"
"100363","10B","MOWI CHILE S.A.","96633780-K","73.6639,42.7002166666667"
"100365","2","MOWI CHILE S.A.","96633780-K","73.0420388888889,41.6801527777778"
